id;floor;room;additional_info
1;Fish Dobra Clothing;Rubber customized Soft;Brazil
2;invoice salmon reboot;Malagasy;overriding
3;Western relationships;Dakota;paradigms grow Rwanda
4;overriding payment;Idaho Tools capacitor;navigating
5;Chief;Fords Beauty;responsive programming Auto
6;Rubber Soft;cultivate Down-sized Zealand;Utah system-worthy
7;azure;Baby extend;back-end Borders strategize
8;Soft Developer Buckinghamshire;COM;Electronics Liaison
9;Berkshire blockchains Central;system Computers;green Streets
10;Electronics;Ways withdrawal Electronics;Central bandwidth
