id;time_stamp;measure_value;name
1;2021-06-01T19:17:07;Small e-business interface;Zloty Bedfordshire Cotton
2;2021-06-01T20:59:59;Hat withdrawal RAM;Metal Massachusetts
3;2021-06-01T21:22:20;quantifying Bacon Marketing;collaborative
4;2021-06-02T00:32:53;whiteboard Soft Specialist;Litas
5;2021-06-02T01:18:53;Incredible override Table;1080p Movies Oregon
6;2021-06-01T21:58:16;attitude-oriented transmitting;Lead Oregon Facilitator
7;2021-06-02T02:16:08;generate;Buckinghamshire
8;2021-06-01T21:56:36;SDD;Jamaica Djibouti wireless
9;2021-06-02T13:57:10;Singapore;Vermont JBOD
10;2021-06-02T03:24:29;Product;world-class bus
